City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
76,mosta,35.9092,14.4256,290.62,63,few clouds,6.69,MT,1668978354
77,scottsbluff,41.8666,-103.6672,286.28,13,clear sky,5.66,US,1668978336
78,namibe,-15.1961,12.1522,296.92,72,overcast clouds,2.39,AO,1668978355
79,bambous virieux,-20.3428,57.7575,296.29,78,scattered clouds,2.06,MU,1668978356
80,hobart,-42.8794,147.3294,282.74,68,light rain,6.17,AU,1668978357
81,palu,-0.8917,119.8707,297.45,95,overcast clouds,1.37,ID,1668978357
82,gwadar,25.1216,62.3254,298.5,63,clear sky,0.79,PK,1668978358
83,acapulco,16.8634,-99.8901,303.05,74,scattered clouds,3.09,MX,1668978359
84,ipora,-16.4419,-51.1178,300.35,51,broken clouds,4.38,BR,1668978359
85,gisors,49.2818,1.7801,282.45,89,clear sky,5.63,FR,1668978360
86,salinopolis,-0.6136,-47.3561,300.36,74,broken clouds,4.01,BR,1668978361
87,filadelfia,39.9523,-75.1638,274.88,36,clear sky,7.2,US,1668978245
88,rockport,28.0206,-97.0544,285.17,97,overcast clouds,4.63,US,1668978304
89,puerto ayora,-0.7393,-90.3518,294.57,92,overcast clouds,2.24,EC,1668978146
90,hervey bay,-25.2986,152.8535,297.29,87,few clouds,4.44,AU,1668978363
91,karaton,-6.3424,106.1045,295.73,93,overcast clouds,2.24,ID,1668978363
92,kirovgrad,57.4297,60.0597,259.98,85,few clouds,2.25,RU,1668978364
93,bredasdorp,-34.5322,20.0403,287.72,78,clear sky,0.92,ZA,1668978365
94,mapiripan,2.8892,-72.1256,300.81,83,overcast clouds,2.74,CO,1668978366
95,manfredonia,41.6259,15.9094,285.13,77,overcast clouds,7.38,IT,1668978367
96,verkhnevilyuysk,63.4453,120.3167,240.43,100,broken clouds,0.97,RU,1668978367
97,buala,-8.145,159.5921,301.72,67,overcast clouds,4.21,SB,1668978368
98,labuhan,-6.8844,112.2051,298.96,80,overcast clouds,2.78,ID,1668978369
99,ribeira grande,38.5167,-28.7,292.47,94,broken clouds,5.66,PT,1668978369
100,lasa,46.6166,10.7002,272.61,61,broken clouds,0.88,IT,1668978370
101,hithadhoo,-0.6,73.0833,299.76,79,clear sky,4.02,MV,1668978371
102,sabha,27.0377,14.4283,290.8,29,clear sky,4.65,LY,1668978372
103,nikolskoye,59.7035,30.7861,268.1,98,broken clouds,1.25,RU,1668978373
